TOOL,SAMPLE,ID/OOD,loss
DLF,dlf_107_e963_p931.npy,id,87.40755
DLF,dlf_8_e963_p987.npy,id,109.759674
DLF,dlf_39_e963_p868.npy,id,183.0814
DLF,dlf_9_e963_p868.npy,id,177.1661
DLF,dlf_26_e963_p611.npy,id,168.54947
DLF,dlf_112_e963_p861.npy,id,57.855595
DLF,dlf_71_e963_p112.npy,id,119.807526
DLF,dlf_58_e963_p868.npy,id,258.2394
DLF,dlf_51_e963_p868.npy,id,289.40454
DLF,dlf_38_e963_p619.npy,id,66.35538
DLF,dlf_18_e963_p452.npy,id,130.8898
DLF,dlf_66_e963_p868.npy,id,366.17325
DLF,dlf_5_e963_p868.npy,id,289.95645
DLF,dlf_24_e963_p112.npy,id,127.017914
DLF,dlf_94_e963_p927.npy,id,209.59598
DLF,dlf_57_e963_p809.npy,id,153.6112
DLF,dlf_119_e963_p962.npy,id,57.98054
DLF,dlf_99_e963_p467.npy,id,54.478497
DLF,dlf_69_e963_p868.npy,id,187.05098
DLF,dlf_48_e963_p787.npy,id,77.28463
DLF,dlf_109_e963_p922.npy,id,236.1106
DLF,dlf_37_e963_p868.npy,id,286.00174
DLF,dlf_75_e963_p112.npy,id,183.52512
DLF,dlf_108_e963_p861.npy,id,57.539604
DLF,dlf_77_e963_p854.npy,id,97.27843
DLF,dlf_73_e963_p868.npy,id,251.5848
DLF,dlf_13_e963_p964.npy,id,110.322945
DLF,dlf_36_e963_p891.npy,id,174.11813
DLF,dlf_17_e963_p828.npy,id,159.46674
DLF,dlf_68_e963_p964.npy,id,94.79727
DLF,dlf_104_e963_p861.npy,id,58.634533
DLF,dlf_16_e963_p861.npy,id,240.15816
DLF,dlf_117_e963_p415.npy,id,157.60342
DLF,dlf_20_e963_p669.npy,id,57.045624
DLF,dlf_63_e963_p868.npy,id,193.54797
DLF,dlf_56_e963_p809.npy,id,159.72218
DLF,dlf_59_e963_p868.npy,id,101.78537
DLF,dlf_44_e963_p927.npy,id,219.12526
DLF,dlf_6_e963_p599.npy,id,151.85904
DLF,dlf_45_e963_p933.npy,id,164.01642
DLF,dlf_95_e963_p964.npy,id,107.81819
DLF,dlf_74_e963_p964.npy,id,117.07591
DLF,dlf_91_e963_p933.npy,id,155.08589
DLF,dlf_52_e963_p854.npy,id,108.24421
DLF,dlf_113_e963_p415.npy,id,148.83989
DLF,dlf_106_e963_p861.npy,id,60.000698
DLF,dlf_90_e963_p923.npy,id,149.3874
DLF,dlf_43_e963_p861.npy,id,94.11008
DLF,dlf_19_e963_p891.npy,id,169.32124
DLF,dlf_40_e963_p861.npy,id,113.57901
DLF,dlf_96_e963_p112.npy,id,129.97278
DLF,dlf_79_e963_p611.npy,id,161.09747
DLF,dlf_83_e963_p112.npy,id,118.68696
DLF,dlf_41_e963_p112.npy,id,102.02326
DLF,dlf_88_e963_p452.npy,id,103.19087
DLF,dlf_65_e963_p861.npy,id,118.353134
DLF,dlf_49_e963_p922.npy,id,245.24088
DLF,dlf_60_e963_p611.npy,id,173.70503
DLF,dlf_62_e963_p861.npy,id,247.73051
DLF,dlf_82_e963_p868.npy,id,279.80823
DLF,dlf_87_e963_p452.npy,id,107.70414
DLF,dlf_34_e963_p787.npy,id,70.53596
DLF,dlf_27_e963_p532.npy,id,113.26501
DLF,dlf_98_e963_p868.npy,id,97.14334
DLF,dlf_67_e963_p452.npy,id,138.16109
DLF,dlf_114_e963_p962.npy,id,156.6523
DLF,dlf_14_e963_p861.npy,id,75.41536
DLF,dlf_46_e963_p112.npy,id,97.44606
DLF,dlf_22_e963_p112.npy,id,113.411674
DLF,dlf_10_e963_p611.npy,id,162.84273
DLF,dlf_101_e963_p962.npy,id,161.69629
DLF,dlf_76_e963_p927.npy,id,212.78416
DLF,dlf_55_e963_p987.npy,id,115.450966
DLF,dlf_33_e963_p964.npy,id,171.0739
DLF,dlf_47_e963_p532.npy,id,109.08005
DLF,dlf_50_e963_p112.npy,id,107.042404
DLF,dlf_23_e963_p861.npy,id,72.91553
DLF,dlf_4_e963_p964.npy,id,164.7392
DLF,dlf_7_e963_p809.npy,id,151.23398
DLF,dlf_32_e963_p927.npy,id,216.19232
DLF,dlf_12_e963_p861.npy,id,87.84995
