file,TOOL,Ass1_label,Ass2_label,ID/OOD Human,ID/OOD Selforacle 9999,ID/OOD DAIV,ID/OOD DeepSVDD,Svdd scores,ID_cleaned,ID/OOD Selforacle 99999,ID/OOD LLM,ID/OOD LLM2
sv_41.npy,sv,ood,ood,ood,id,id,id,0.000227159820497,sv_41,id,ood,ood
ox_64.npy,ox,id,id,id,id,id,id,0.0004304798785597,ox_64,id,id,id
dx_30.npy,dx,id,id,id,id,id,id,0.0004876181483268,dx_30,id,id,id
ox_66.npy,ox,id,id,id,id,id,id,0.0005357880145311,ox_66,id,id,id
dx_22.npy,dx,id,id,id,id,id,id,0.0008771046996116,dx_22,id,id,ood
dlf_101.npy,dlf,id,id,id,id,id,id,0.0012841927818953,dlf_101,id,id,ood
sv_25.npy,sv,ood,ood,ood,id,id,ood,0.0029467106796801,sv_25,id,ood,id
ox_88.npy,ox,id,id,id,id,id,id,0.0015192129649221,ox_88,id,id,id
sv_118.npy,sv,id,id,id,id,id,id,0.001211941242218,sv_118,id,id,id
sv_80.npy,sv,ood,ood,ood,id,id,id,0.0003700517117977,sv_80,id,ood,ood
sv_45.npy,sv,id,id,id,id,id,id,0.0011876872740685,sv_45,id,id,id
dx_112.npy,dx,id,id,id,id,id,id,0.0003516222350299,dx_112,id,id,id
sv_29.npy,sv,id,id,id,id,id,id,0.0007520583458244,sv_29,id,ood,id
ox_70.npy,ox,id,id,id,id,id,id,0.0012917327694594,ox_70,id,id,id
dlf_113.npy,dlf,id,id,id,id,id,id,0.0010289952624589,dlf_113,id,id,ood
dlf_0.npy,dlf,id,id,id,id,id,id,0.002372573595494,dlf_0,id,ood,id
sv_26.npy,sv,id,id,id,id,id,id,-0.0002387214917689,sv_26,id,ood,ood
dlf_79.npy,dlf,id,id,id,id,id,id,0.0008053656201809,dlf_79,id,id,ood
sv_68.npy,sv,id,id,id,id,id,id,0.0017844033427536,sv_68,id,id,id
dx_11.npy,dx,id,id,id,id,id,ood,0.0040816226974129,dx_11,id,id,id
dlf_108.npy,dlf,id,id,id,id,id,id,0.0008939940016716,dlf_108,id,id,id
ox_80.npy,ox,id,id,id,id,id,id,0.0005149287171661,ox_80,id,id,id
sv_87.npy,sv,ood,ood,ood,id,id,id,0.0010656879749149,sv_87,id,ood,ood
dx_81.npy,dx,id,id,id,id,id,id,0.0020580505952239,dx_81,id,id,id
