Image_Name,Classification
dlf_67_e5_p8.png,id
dx_52_blackout_e5_p2.png,id
ox_72_e5_p7.png,id
dj_55_e5_p3.png,id
dj_48_e5_p6.png,id
dlf_97_e5_p3.png,id
dlf_11_e5_p3.png,id
dlf_70_e5_p3.png,id
dj_70_e5_p3.png,id
sv_25_e5_p3.png,id
dj_4_e5_p3.png,id
ox_95_e5_p3.png,ood
dlf_37_e5_p3.png,id
sv_40_e5_p3.png,id
dj_1_e5_p3.png,ood
ox_28_e5_p3.png,ood
dj_94_e5_p8.png,ood
dlf_78_e5_p0.png,id
dlf_88_e5_p3.png,id
dx_19_occl_e5_p7.png,id
dlf_47_e5_p3.png,id
dx_46_blackout_e5_p2.png,id
sv_93_e5_p3.png,id
dlf_42_e5_p8.png,id
dx_48_blackout_e5_p4.png,id
dlf_79_e5_p3.png,id
ox_34_e5_p3.png,ood
dlf_63_e5_p3.png,id
dlf_92_e5_p3.png,id
sv_14_e5_p3.png,ood
dlf_72_e5_p3.png,id
dx_47_blackout_e5_p2.png,id
dj_43_e5_p3.png,id
sv_59_e5_p3.png,ood
dx_75_light_e5_p8.png,id
ox_77_e5_p9.png,id
dx_15_occl_e5_p3.png,id
dx_69_light_e5_p8.png,ood
dj_80_e5_p3.png,id
dj_54_e5_p6.png,id
dlf_33_e5_p7.png,id
dj_82_e5_p6.png,id
dx_86_light_e5_p3.png,id
sv_33_e5_p6.png,ood
dx_40_blackout_e5_p2.png,id
dx_33_occl_e5_p8.png,id
dj_76_e5_p3.png,ood
dx_22_occl_e5_p7.png,ood
dj_58_e5_p6.png,id
dlf_24_e5_p3.png,id
dj_64_e5_p3.png,id
dlf_18_e5_p3.png,id
sv_94_e5_p3.png,id
dlf_99_e5_p3.png,id
dlf_39_e5_p3.png,id
dx_50_blackout_e5_p2.png,id
dx_17_occl_e5_p3.png,id
dx_72_light_e5_p8.png,ood
sv_77_e5_p3.png,id
sv_84_e5_p1.png,id
dx_89_light_e5_p8.png,id
dj_81_e5_p3.png,id
dx_60_blackout_e5_p2.png,id
dx_44_blackout_e5_p2.png,id
sv_65_e5_p0.png,ood
ox_85_e5_p3.png,ood
dlf_65_e5_p3.png,id
dx_43_blackout_e5_p2.png,ood
dlf_57_e5_p8.png,ood
dx_39_blackout_e5_p2.png,id
sv_73_e5_p6.png,id
dj_99_e5_p3.png,id
dlf_64_e5_p2.png,id
dx_51_blackout_e5_p2.png,id
sv_95_e5_p3.png,ood
dj_42_e5_p6.png,id
ox_49_e5_p8.png,id
ox_70_e5_p3.png,ood
ox_31_e5_p3.png,id
dlf_81_e5_p6.png,Ood
dj_33_e5_p3.png,id
ox_51_e5_p3.png,id
dj_15_e5_p8.png,id
dlf_71_e5_p2.png,id
dx_94_light_e5_p3.png,id
dj_46_e5_p9.png,id
dj_9_e5_p3.png,id
dj_73_e5_p9.png,id
ox_92_e5_p3.png,id
dlf_80_e5_p8.png,id
sv_99_e5_p1.png,id
dj_71_e5_p8.png,id
dj_10_e5_p6.png,id
ox_39_e5_p8.png,ood
ox_0_e5_p3.png,ood
dx_63_blackout_e5_p2.png,id
ox_75_e5_p3.png,ood
sv_16_e5_p8.png,id
ox_8_e5_p3.png,ood
ox_87_e5_p3.png,ood
dlf_66_e5_p8.png,id
sv_89_e5_p9.png,ood
dlf_83_e5_p3.png,id
sv_54_e5_p3.png,id
dx_76_light_e5_p8.png,ood
sv_2_e5_p3.png,ood
sv_22_e5_p4.png,ood
dx_96_light_e5_p8.png,id
dj_47_e5_p6.png,id
dj_88_e5_p8.png,id
ox_80_e5_p3.png,ood
sv_11_e5_p9.png,id
dx_84_light_e5_p3.png,id
ox_96_e5_p9.png,id
dx_25_occl_e5_p3.png,id
dx_90_light_e5_p8.png,id
sv_53_e5_p8.png,id
dlf_29_e5_p3.png,id
ox_2_e5_p6.png,id
dlf_34_e5_p3.png,ood
dx_61_blackout_e5_p3.png,id
dj_11_e5_p3.png,id
dlf_58_e5_p8.png,id
dj_44_e5_p3.png,id
dj_18_e5_p3.png,id
ox_40_e5_p3.png,ood
ox_74_e5_p3.png,id
dlf_2_e5_p8.png,id
sv_69_e5_p3.png,ood
dlf_74_e5_p9.png,id
dj_5_e5_p4.png,id
sv_24_e5_p6.png,ood
dlf_15_e5_p8.png,id
sv_7_e5_p4.png,id
ox_17_e5_p3.png,ood
dj_0_e5_p8.png,id
sv_60_e5_p4.png,ood
dj_28_e5_p6.png,id
sv_3_e5_p9.png,ood
dlf_95_e5_p0.png,id
dj_78_e5_p3.png,id
dj_36_e5_p6.png,id
ox_86_e5_p3.png,ood
sv_49_e5_p6.png,id
sv_55_e5_p1.png,ood
dlf_59_e5_p3.png,id
ox_26_e5_p3.png,ood
sv_45_e5_p4.png,id
dx_8_occl_e5_p3.png,id
dj_24_e5_p3.png,id
ox_3_e5_p3.png,id
dlf_5_e5_p3.png,id
dx_64_blackout_e5_p2.png,ood
ox_29_e5_p8.png,ood
ox_65_e5_p3.png,id
dj_61_e5_p8.png,id
sv_79_e5_p9.png,ood
sv_19_e5_p7.png,id
sv_47_e5_p1.png,id
ox_64_e5_p8.png,ood
dx_71_light_e5_p3.png,id
dlf_48_e5_p7.png,id
sv_81_e5_p3.png,ood
dlf_54_e5_p3.png,id
dlf_45_e5_p8.png,id
dlf_76_e5_p3.png,id
dlf_49_e5_p3.png,id
sv_52_e5_p9.png,ood
dlf_14_e5_p3.png,id
