Image_Name,Folder,Classification
dlf_33_e963_p964.png,imagenet_dlf,id
dlf_97_e963_p922.png,imagenet_dlf,id
dlf_14_e963_p861.png,imagenet_dlf,id
dlf_10_e963_p611.png,imagenet_dlf,id
dlf_73_e963_p868.png,imagenet_dlf,id
dlf_19_e963_p891.png,imagenet_dlf,id
dlf_40_e963_p861.png,imagenet_dlf,id
dlf_47_e963_p532.png,imagenet_dlf,id
dlf_76_e963_p927.png,imagenet_dlf,id
dlf_55_e963_p987.png,imagenet_dlf,id
dlf_106_e963_p861.png,imagenet_dlf,id
dlf_44_e963_p927.png,imagenet_dlf,id
dlf_87_e963_p452.png,imagenet_dlf,Ood
dlf_67_e963_p452.png,imagenet_dlf,id
dlf_54_e963_p964.png,imagenet_dlf,id
dlf_11_e963_p868.png,imagenet_dlf,id
dlf_86_e963_p861.png,imagenet_dlf,id
dlf_82_e963_p868.png,imagenet_dlf,id
dlf_85_e963_p809.png,imagenet_dlf,id
dlf_96_e963_p112.png,imagenet_dlf,id
dlf_115_e963_p861.png,imagenet_dlf,id
dlf_2_e963_p452.png,imagenet_dlf,id
dlf_9_e963_p868.png,imagenet_dlf,ood
dlf_1_e963_p891.png,imagenet_dlf,id
dlf_52_e963_p854.png,imagenet_dlf,id
dlf_46_e963_p112.png,imagenet_dlf,id
dlf_114_e963_p962.png,imagenet_dlf,Ood
dlf_12_e963_p861.png,imagenet_dlf,id
dlf_28_e963_p868.png,imagenet_dlf,id
dlf_27_e963_p532.png,imagenet_dlf,id
dlf_91_e963_p933.png,imagenet_dlf,id
dlf_101_e963_p962.png,imagenet_dlf,Ood
dlf_71_e963_p112.png,imagenet_dlf,ood
dlf_92_e963_p669.png,imagenet_dlf,id
dlf_15_e963_p923.png,imagenet_dlf,id
dlf_41_e963_p112.png,imagenet_dlf,ood
dlf_93_e963_p964.png,imagenet_dlf,id
dlf_74_e963_p964.png,imagenet_dlf,id
dlf_63_e963_p868.png,imagenet_dlf,ood
dlf_38_e963_p619.png,imagenet_dlf,id
dlf_119_e963_p962.png,imagenet_dlf,id
dlf_60_e963_p611.png,imagenet_dlf,ood
dlf_13_e963_p964.png,imagenet_dlf,id
dlf_84_e963_p964.png,imagenet_dlf,id
dlf_4_e963_p964.png,imagenet_dlf,ood
dlf_99_e963_p467.png,imagenet_dlf,id
dlf_62_e963_p861.png,imagenet_dlf,Ood
dlf_8_e963_p987.png,imagenet_dlf,id
dlf_51_e963_p868.png,imagenet_dlf,id
dlf_45_e963_p933.png,imagenet_dlf,id
dlf_105_e963_p922.png,imagenet_dlf,id
dlf_37_e963_p868.png,imagenet_dlf,id
dlf_118_e963_p509.png,imagenet_dlf,ood
dlf_111_e963_p861.png,imagenet_dlf,id
dlf_102_e963_p415.png,imagenet_dlf,Ood
dlf_3_e963_p854.png,imagenet_dlf,id
dlf_113_e963_p415.png,imagenet_dlf,Ood
dlf_0_e963_p669.png,imagenet_dlf,id
dlf_64_e963_p415.png,imagenet_dlf,id
dlf_26_e963_p611.png,imagenet_dlf,ood
dlf_17_e963_p828.png,imagenet_dlf,id
dlf_34_e963_p787.png,imagenet_dlf,id
dlf_36_e963_p891.png,imagenet_dlf,id
dlf_53_e963_p933.png,imagenet_dlf,id
dlf_110_e963_p859.png,imagenet_dlf,Ood
dlf_57_e963_p809.png,imagenet_dlf,id
dlf_104_e963_p861.png,imagenet_dlf,id
dlf_89_e963_p927.png,imagenet_dlf,id
dlf_29_e963_p922.png,imagenet_dlf,id
dlf_90_e963_p923.png,imagenet_dlf,id
dlf_42_e963_p861.png,imagenet_dlf,id
dlf_18_e963_p452.png,imagenet_dlf,id
dlf_21_e963_p861.png,imagenet_dlf,id
dlf_25_e963_p669.png,imagenet_dlf,id
dlf_16_e963_p861.png,imagenet_dlf,Ood
dlf_117_e963_p415.png,imagenet_dlf,Ood
dlf_70_e963_p112.png,imagenet_dlf,id
dlf_49_e963_p922.png,imagenet_dlf,id
dlf_58_e963_p868.png,imagenet_dlf,id
dlf_83_e963_p112.png,imagenet_dlf,id
dlf_61_e963_p964.png,imagenet_dlf,id
dlf_39_e963_p868.png,imagenet_dlf,ood
