Image_URL,Classification
Image_URL,ERROR
https://tig-svhn-val.s3.amazonaws.com/dj_0_e5_p2.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_10_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_11_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_12_e5_p3.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_13_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_14_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_15_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_16_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_17_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_18_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_19_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_1_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_20_e5_p3.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_21_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_22_e5_p1.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_23_e5_p9.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_24_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_25_e5_p9.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_26_e5_p9.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_27_e5_p9.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_28_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_29_e5_p3.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_2_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_30_e5_p6.png,id
https://tig-svhn-val.s3.amazonaws.com/dj_31_e5_p3.png,id
https://tig-svhn-val.s3.amazonaws.com/dj_32_e5_p9.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_33_e5_p6.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_34_e5_p7.png,ood
https://tig-svhn-val.s3.amazonaws.com/dj_35_e5_p2.png,ood
